bucket,property_count,percentage_of_records
Below -50%,445,0.0287
-50% to -20%,9251,0.5958
-20% to -10%,113031,7.2798
-10% to 0%,534081,34.3977
0% to 5%,422327,27.2002
5% to 10%,233213,15.0202
10% to 20%,166091,10.6972
20% to 50%,27437,1.7671
Above 50%,2228,0.1435
Missing / not calculable,44559,2.8698
