IssueYear,total_project_value,median_project_value,mean_project_value,permit_count
2019,1673853810.78,35000.0,448634.09562583757,3731
2020,1608853445.98,30900.0,508326.5232164297,3165
2021,1609824680.52,20000.0,434852.69598055107,3702
2022,3720901848.45,25000.0,826683.3700177738,4501
2023,3945623973.48,30000.0,1157753.5133450704,3408
2024,2870461909.24,45000.0,835164.9430433516,3437
